# {"pool_assignment":"shared-twice","pool_binding":"shared-default-secondary-pinned","threads":4,"shared_threads":4,"secondary_threads":0,"checkpoint_operations":10000,"operator_pools":["shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared"]}
0,155
0,304
0,452
0,597
0,742
0,888
0,1033
0,1179
0,1324
0,1459
1,157
1,305
1,453
1,599
1,745
1,892
1,1038
1,1184
1,1331
1,1466
2,152
2,298
2,443
2,586
2,730
2,873
2,1016
2,1160
2,1303
2,1446
3,152
3,298
3,442
3,584
3,726
3,869
3,1012
3,1154
3,1297
3,1440
4,155
4,304
4,452
4,597
4,742
4,888
4,1033
4,1179
4,1324
4,1459
5,157
5,305
5,453
5,599
5,745
5,892
5,1038
5,1184
5,1331
5,1466
6,152
6,298
6,443
6,586
6,730
6,873
6,1016
6,1160
6,1303
6,1446
7,152
7,298
7,442
7,584
7,726
7,869
7,1012
7,1154
7,1297
7,1440
8,155
8,304
8,452
8,597
8,742
8,888
8,1033
8,1179
8,1324
8,1459
9,157
9,305
9,453
9,599
9,745
9,892
9,1038
9,1184
9,1331
9,1466
10,152
10,298
10,443
10,586
10,730
10,873
10,1016
10,1160
10,1303
10,1446
11,152
11,298
11,442
11,584
11,726
11,869
11,1012
11,1154
11,1297
11,1440
12,155
12,304
12,452
12,597
12,742
12,888
12,1033
12,1179
12,1324
12,1459
13,157
13,305
13,453
13,599
13,745
13,892
13,1038
13,1184
13,1331
13,1466
14,152
14,298
14,443
14,586
14,730
14,873
14,1016
14,1160
14,1303
14,1446
15,152
15,298
15,442
15,584
15,726
15,869
15,1012
15,1154
15,1297
15,1440
