# {"pool_assignment":"shared-twice","pool_binding":"shared-default-secondary-pinned","threads":2,"shared_threads":2,"secondary_threads":0,"checkpoint_operations":100,"operator_pools":["shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared","shared"]}
0,795
0,1597
0,2399
0,3200
0,4002
0,4804
0,5606
0,6408
0,7210
0,8012
1,795
1,1597
1,2398
1,3200
1,4002
1,4804
1,5606
1,6408
1,7210
1,8012
2,796
2,1598
2,2400
2,3201
2,4003
2,4805
2,5607
2,6409
2,7211
2,8013
3,796
3,1598
3,2399
3,3201
3,4003
3,4805
3,5607
3,6409
3,7211
3,8013
4,797
4,1599
4,2401
4,3202
4,4004
4,4806
4,5608
4,6410
4,7212
4,8014
5,797
5,1598
5,2400
5,3202
5,4004
5,4806
5,5608
5,6410
5,7212
5,8014
6,798
6,1600
6,2401
6,3203
6,4005
6,4807
6,5609
6,6411
6,7213
6,8015
7,798
7,1599
7,2401
7,3203
7,4005
7,4807
7,5609
7,6411
7,7213
7,8015
8,799
8,1601
8,2402
8,3204
8,4006
8,4808
8,5610
8,6412
8,7214
8,8016
9,799
9,1600
9,2402
9,3204
9,4006
9,4808
9,5610
9,6412
9,7214
9,8016
10,800
10,1602
10,2403
10,3205
10,4007
10,4809
10,5611
10,6413
10,7215
10,8017
11,800
11,1601
11,2403
11,3205
11,4007
11,4809
11,5611
11,6413
11,7215
11,8017
12,801
12,1603
12,2404
12,3206
12,4008
12,4810
12,5612
12,6414
12,7216
12,8018
13,801
13,1602
13,2404
13,3206
13,4008
13,4810
13,5612
13,6414
13,7216
13,8018
14,802
14,1604
14,2405
14,3207
14,4009
14,4811
14,5613
14,6415
14,7217
14,8019
15,802
15,1603
15,2405
15,3207
15,4009
15,4811
15,5613
15,6415
15,7217
15,8019
